iter	Passed	Remaining
0	182	182377
1	184	92054
2	186	61820
3	188	46832
4	189	37740
5	191	31697
6	192	27372
7	195	24245
8	197	21718
9	199	19720
10	201	18073
11	203	16734
12	205	15626
13	208	14678
14	210	13850
15	212	13068
16	214	12397
17	216	11801
18	217	11252
19	219	10767
20	222	10367
21	225	10010
22	227	9648
23	230	9360
24	232	9053
25	235	8813
26	237	8542
27	238	8285
28	240	8064
29	242	7830
30	243	7615
31	245	7423
32	247	7265
33	250	7108
34	251	6946
35	253	6800
36	256	6669
37	258	6537
38	260	6412
39	262	6288
40	263	6168
41	267	6093
42	269	5987
43	270	5875
44	272	5775
45	274	5693
46	276	5611
47	278	5519
48	281	5469
49	283	5387
50	285	5309
51	287	5232
52	289	5164
53	290	5088
54	292	5019
55	293	4949
56	295	4885
57	296	4820
58	298	4761
59	300	4707
60	302	4658
61	304	4604
62	305	4548
63	307	4494
64	309	4451
65	311	4405
66	312	4358
67	314	4313
68	316	4267
69	317	4219
70	319	4174
71	320	4129
72	321	4086
73	323	4042
74	324	4001
75	326	3964
76	327	3925
77	329	3891
78	332	3876
79	334	3843
80	335	3811
81	338	3791
82	340	3757
83	341	3728
84	343	3702
85	345	3673
86	346	3640
87	351	3640
88	353	3620
89	356	3602
90	358	3584
91	360	3561
92	362	3539
93	364	3517
94	366	3491
95	368	3470
96	369	3443
97	371	3418
98	372	3391
99	373	3365
100	375	3340
101	377	3326
102	379	3302
103	380	3278
104	381	3254
105	386	3258
106	390	3260
107	393	3250
108	395	3234
109	398	3225
110	400	3209
111	402	3188
112	403	3169
113	405	3150
114	406	3130
115	408	3109
116	409	3087
117	410	3068
118	411	3050
119	413	3033
120	415	3017
121	416	3000
122	418	2986
123	420	2971
124	422	2958
125	424	2942
126	425	2927
127	427	2912
128	428	2896
129	430	2879
130	431	2863
131	432	2846
132	435	2835
133	436	2819
134	437	2803
135	438	2787
136	439	2771
137	441	2758
138	442	2743
139	444	2728
140	445	2713
141	446	2696
142	447	2682
143	449	2670
144	450	2655
145	451	2642
146	453	2629
147	454	2615
148	455	2601
149	456	2588
150	457	2574
151	458	2560
152	459	2546
153	461	2532
154	462	2520
155	463	2507
156	464	2494
157	465	2481
158	466	2468
159	467	2455
160	468	2441
161	470	2432
162	471	2421
163	472	2410
164	474	2398
165	475	2388
166	477	2379
167	478	2369
168	479	2359
169	481	2349
170	482	2340
171	484	2330
172	485	2320
173	486	2310
174	487	2299
175	488	2289
176	490	2279
177	491	2269
178	492	2259
179	493	2248
180	494	2238
181	496	2229
182	497	2222
183	499	2215
184	501	2207
185	502	2198
186	503	2190
187	505	2183
188	507	2176
189	508	2168
190	510	2160
191	511	2154
192	514	2149
193	515	2142
194	517	2134
195	518	2128
196	520	2120
197	522	2115
198	524	2111
199	526	2107
200	528	2101
201	530	2094
202	531	2087
203	533	2080
204	534	2072
205	535	2065
206	537	2057
207	538	2050
208	539	2042
209	540	2034
210	541	2026
211	542	2018
